Nama;Kegiatan;Kecamatan;Wilayah;Kategori;lat;lng
Hartini Pangsit;;Surakarta;Surakarta;Surakarta;-7.5616978;110.8296367
Warung Makan Abg;;Surakarta;Surakarta;Surakarta;-7.5630911;110.8286086
Toko Pak Eko;;Surakarta;Surakarta;Surakarta;-7.5627516;110.8277774
Bbl Stuff;;Surakarta;Surakarta;Surakarta;-7.5630042;110.8274917
Gorengan Mbak Tina;;Surakarta;Surakarta;Surakarta;-7.5627841;110.8278634
Warung Mbah Wal;;Surakarta;Surakarta;Surakarta;-7.5625545;110.827802
Warung Es Mbah Kinah;;Surakarta;Surakarta;Surakarta;-7.5625569;110.8278007
Wedangan Rikokana;;Surakarta;Surakarta;Surakarta;-7.5603005;110.8316499
Heru Gas;;Surakarta;Surakarta;Surakarta;-7.5627553;110.8277749
Eliana All Shop Solo;;Surakarta;Surakarta;Surakarta;-7.562752;110.8277701
Toko Sepatu Aaa;;Surakarta;Surakarta;Surakarta;-7.5642924;110.8284039
Toko Aa;;Surakarta;Surakarta;Surakarta;-7.5644483;110.8284099
Warung Makan Pak Oni;;Surakarta;Surakarta;Surakarta;-7.551038888888889;110.78173055555555
Bengkel Jovan;;Surakarta;Surakarta;Surakarta;-7.551377777777778;110.78287222222222
Jasuke Dan Es Jelly Bon Bu Ape;;Surakarta;Surakarta;Surakarta;-7.550825;110.78271111111111
Toko Marjuki Sembako;;Surakarta;Surakarta;Surakarta;-7.5592134;110.7563487
Pakaian Bu Sri;;Surakarta;Surakarta;Surakarta;-7.4955369;110.8064132
Penjahit Sihono;;Surakarta;Surakarta;Surakarta;-7.4958408;110.8066476
Penjahit Tri;;Surakarta;Surakarta;Surakarta;-7.4954709;110.8065968
Se 7 En Jakal Kosmetik;;Surakarta;Surakarta;Surakarta;-7.4955698;110.8066103
Piscok Krispi;;Surakarta;Surakarta;Surakarta;-7.5599716;110.8613363
Omah Sabun;;Surakarta;Surakarta;Surakarta;-7.4955866;110.8066856
Meronce Melati;;Surakarta;Surakarta;Surakarta;-7.4957877;110.8066592
Warung Bakmi Jowo Tengah Kampung;;Surakarta;Surakarta;Surakarta;-7.5486361;110.8664494
Wakhid Olshop;;Surakarta;Surakarta;Surakarta;-7.4955023;110.8066886
Mie Hitam Abadi;;Surakarta;Surakarta;Surakarta;-7.4956111;110.8067189
Sembako Bu Nur;;Surakarta;Surakarta;Surakarta;-7.4955882;110.8067848
Snack Partinah;;Surakarta;Surakarta;Surakarta;-7.4955369;110.8064132
Ikan Asin Bu Lami;;Surakarta;Surakarta;Surakarta;-7.5488317;110.8649947
Kerupuk Tutik;;Surakarta;Surakarta;Surakarta;-7.4956991;110.8068098
Penjahit Dwi;;Surakarta;Surakarta;Surakarta;-7.4956266;110.8066865
Mie Ayam Jamur Anugrah;;Surakarta;Surakarta;Surakarta;-7.5571795;110.8598358
2Ab Sendal&Sepatu Karet;;Surakarta;Surakarta;Surakarta;-7.4954894;110.8067452
S.S Snack;;Surakarta;Surakarta;Surakarta;-7.4956136;110.8066566
Dawet Bu Marwanti;;Surakarta;Surakarta;Surakarta;-7.4956934;110.8068
Ayam Kentucky;;Surakarta;Surakarta;Surakarta;-7.4955908;110.8066199
Bu Tin Sembako;;Surakarta;Surakarta;Surakarta;-7.495592;110.8066186
Penjahit Paniyo;;Surakarta;Surakarta;Surakarta;-7.4956202;110.8065944
Pempek Kapal Selam;;Surakarta;Surakarta;Surakarta;-7.4956285;110.8066126
Kos Kosan Mbah Arjo;;Surakarta;Surakarta;Surakarta;-7.5746995;110.8063915
Warung Kelontong Bu Dwi;;Surakarta;Surakarta;Surakarta;-7.5530049;110.8240153
Wedangan Sutarni;;Surakarta;Surakarta;Surakarta;-7.5529466;110.8240723
Membuat Tahu;;Surakarta;Surakarta;Surakarta;-7.5527464;110.8239119
Kain Perca;;Surakarta;Surakarta;Surakarta;-7.5527528;110.8238724
Loundry Ahza Azka;;Surakarta;Surakarta;Surakarta;-7.5525984;110.8238097
Tabung Gas;;Surakarta;Surakarta;Surakarta;-7.557211;110.8236698
Ayam Kremes Mb Yeyen;;Surakarta;Surakarta;Surakarta;-7.5572069;110.8236659
Aayam Geprek;;Surakarta;Surakarta;Surakarta;-7.5533499;110.8221253
Warung Kelontong Bu Parti;;Surakarta;Surakarta;Surakarta;-7.5544129;110.829644
Pakaian Anak;;Surakarta;Surakarta;Surakarta;-7.5528959;110.8241693
Toko Kelontong;;Surakarta;Surakarta;Surakarta;-7.5544519;110.8295755
Penjahit Sardjono;;Surakarta;Surakarta;Surakarta;-7.5545031;110.8296333
Warung Soto;;Surakarta;Surakarta;Surakarta;-7.5544704;110.8291484
Empon Empon Bu Darsi;;Surakarta;Surakarta;Surakarta;-7.5544105;110.8296318
Kelontong Pak Agung;;Surakarta;Surakarta;Surakarta;-7.5543955;110.8296243
Warung Kelontong;;Surakarta;Surakarta;Surakarta;-7.5542561;110.8296798
Toko Kelontong;;Surakarta;Surakarta;Surakarta;-7.5541204;110.832047
Sayuran Rumini;;Surakarta;Surakarta;Surakarta;-7.5543373;110.8297305
Parut Kelapa;;Surakarta;Surakarta;Surakarta;-7.5542975;110.8297643
Warung Bu Dewi;;Surakarta;Surakarta;Surakarta;-7.5533302;110.8262668
Bibie Roti;;Surakarta;Surakarta;Surakarta;-7.5528143;110.8241688
Warung Kelontong;;Surakarta;Surakarta;Surakarta;-7.5526771;110.8235727
Warung Bu Eni;;Surakarta;Surakarta;Surakarta;-7.5526781;110.8235668
Karak Herbal;;Surakarta;Surakarta;Surakarta;-7.5514964;110.8216452
Warung Kelontong;;Surakarta;Surakarta;Surakarta;-7.5518032;110.8209244
Warung Kelontong;;Surakarta;Surakarta;Surakarta;-7.5525081;110.8225784
Warung Kelontong;;Surakarta;Surakarta;Surakarta;-7.553049;110.8224682
Loundri;;Surakarta;Surakarta;Surakarta;-7.5522903;110.822691
Warung Sembako Pak Jum;;Surakarta;Surakarta;Surakarta;-7.558517870171754;110.814946111663
Gorengan Bu Sariyem;;Surakarta;Surakarta;Surakarta;-7.552589083333333;110.83638119444444
Sembako Dan Snack Pak Dedi;;Surakarta;Surakarta;Surakarta;-7.558501893905524;110.81494098489055
Gorengan Bu Wiji;;Surakarta;Surakarta;Surakarta;-7.552681194444444;110.83614377777778
Gorengan;;Surakarta;Surakarta;Surakarta;-7.5529245;110.8361071
Warung Wedangan Satiman;;Surakarta;Surakarta;Surakarta;-7.5530047;110.8364305
Wedangan Mas Budi;;Surakarta;Surakarta;Surakarta;-7.5804855;110.8340088
Bengkel Dinamo Pak Juwadi;;Surakarta;Surakarta;Surakarta;-7.553344;110.8353432
Toko Pakaian Bu Sri;;Surakarta;Surakarta;Surakarta;-7.5468352;110.8209221
Penjahit Bu Sriyati;;Surakarta;Surakarta;Surakarta;-7.4955903;110.8066229
Penjahit Bu Wulandari;;Surakarta;Surakarta;Surakarta;-7.4956676;110.8066697
Sembako Hariyani;;Surakarta;Surakarta;Surakarta;-7.5830527;110.8358863
Ayam Potong Titik;;Surakarta;Surakarta;Surakarta;-7.4956581;110.8065902
Ayam Potong Naning;;Surakarta;Surakarta;Surakarta;-7.4956954;110.8067149
Ayam Mbah Surani (Pasar Krempyeng);;Surakarta;Surakarta;Surakarta;-7.5906105;110.8307355
Minem Market;;Surakarta;Surakarta;Surakarta;-7.5441531;110.822897
Kedai Shema;;Surakarta;Surakarta;Surakarta;-7.5488917;110.841635
Warung Bu Triana;;Surakarta;Surakarta;Surakarta;-7.5408586;110.8302871
Warung Es Boba Pop;;Surakarta;Surakarta;Surakarta;-7.5907632;110.8291281
Toko Sembako Pak Marino;;Surakarta;Surakarta;Surakarta;-7.5411503;110.8306413
Toko Ndari Jovan;;Surakarta;Surakarta;Surakarta;-7.5414517;110.830577
Jual Beli Rosok Pak Ateng;;Surakarta;Surakarta;Surakarta;-7.5411971;110.8309747
Terapi Hidayah;;Surakarta;Surakarta;Surakarta;-7.540431;110.8313162
Aisyah Laundry;;Surakarta;Surakarta;Surakarta;-7.5393066;110.8312311
Ro Dapur;;Surakarta;Surakarta;Surakarta;-7.539217;110.8313164
Warung Berkat Abadi;;Surakarta;Surakarta;Surakarta;-7.5392739;110.8313546
Warung Makan Barokah;;Surakarta;Surakarta;Surakarta;-7.5394061;110.8313908
Kios Egalitha;;Surakarta;Surakarta;Surakarta;-7.5393402;110.8312663
Cutting Stiker Decal;;Surakarta;Surakarta;Surakarta;-7.5392807;110.8313329
Laundry Resik;;Surakarta;Surakarta;Surakarta;-7.5397847;110.8313167
Roti Donat Tissa;;Surakarta;Surakarta;Surakarta;-7.5397564;110.8311073
Nasi Liwet Mbak Atun;;Surakarta;Surakarta;Surakarta;-7.5394372;110.8312256
Puspawidjaja Retro Garasi;;Surakarta;Surakarta;Surakarta;-7.5392692;110.8313353
Klepon El Lase;;Surakarta;Surakarta;Surakarta;-7.5396205;110.8309889
Bengkel Kms;;Surakarta;Surakarta;Surakarta;-7.5402064;110.8308882
Roemahrakjat Studio;;Surakarta;Surakarta;Surakarta;-7.5403922;110.8312281
Rengginang Cap Gajah;;Surakarta;Surakarta;Surakarta;-7.5808035;110.8248311
Shabiha Tailor;;Surakarta;Surakarta;Surakarta;-7.5445251;110.8234233
Warung Bakmi Anakku;;Surakarta;Surakarta;Surakarta;-7.5808661;110.8247877
Warung Kelontong Bu Sri;;Surakarta;Surakarta;Surakarta;-7.576055;110.8234217
Laundry Sandy Erland;;Surakarta;Surakarta;Surakarta;-7.575955;110.8232883
Warung Makan Mbak Wuri;;Surakarta;Surakarta;Surakarta;-7.576395;110.8233183
Wedangan Sak Dremo;;Surakarta;Surakarta;Surakarta;-7.5446023;110.8234712
Warung Es Bu Sriyani;;Surakarta;Surakarta;Surakarta;-7.5444985;110.8233669
Warung Ibu Ina;;Surakarta;Surakarta;Surakarta;-7.5444805;110.8238677
Warung Makan Pak Rakimin;;Surakarta;Surakarta;Surakarta;-7.5448787;110.8238865
Warung Minum Bu Siti;;Surakarta;Surakarta;Surakarta;-7.57642;110.8234417
Laundry Sari;;Surakarta;Surakarta;Surakarta;-7.5408541;110.8255741
Warung Makan Bu Atik;;Surakarta;Surakarta;Surakarta;-7.5829493;110.8251233
Warung Waluyadi;;Surakarta;Surakarta;Surakarta;-7.5408837;110.8258456
Warung Bu Wakini;;Surakarta;Surakarta;Surakarta;-7.5424;110.826335
Sahl Service Elektronik;;Surakarta;Surakarta;Surakarta;-7.5424715;110.827254
Rambak Ariyani;;Surakarta;Surakarta;Surakarta;-7.5446493;110.8260188
Pohon Tembakau;;Surakarta;Surakarta;Surakarta;-7.54089;110.8257417
Mui Cat;;Surakarta;Surakarta;Surakarta;-7.5410117;110.8254833
Warung Es Mbak Puji;;Surakarta;Surakarta;Surakarta;-7.544885;110.8233967
Warung Sayur Bu Nur;;Surakarta;Surakarta;Surakarta;-7.5414204;110.8235705
Toko Dina;;Surakarta;Surakarta;Surakarta;-7.5413189;110.8235853
Jenang Mbak Puji;;Surakarta;Surakarta;Surakarta;-7.5432726;110.8238131
Sidodadi;;Surakarta;Surakarta;Surakarta;-7.5443567;110.824975
Toko Serba Usaha;;Surakarta;Surakarta;Surakarta;-7.5410771;110.8236829
Toko Bedjo;;Surakarta;Surakarta;Surakarta;-7.5410562;110.8236844
Warung Makan Mbah Tandu3;;Surakarta;Surakarta;Surakarta;-7.5406826;110.8229778
Cuxi Motor Pendowo;;Surakarta;Surakarta;Surakarta;-7.5409369;110.8237863
Warung Es Cream Pak Suwardi;;Surakarta;Surakarta;Surakarta;-7.5417574;110.8234637
Chila Juice;;Surakarta;Surakarta;Surakarta;-7.5418226;110.8235259
Toko Bu Rani;;Surakarta;Surakarta;Surakarta;-7.5413928;110.8242591
Warung Makan Bu Tusiyem;;Surakarta;Surakarta;Surakarta;-7.5416563;110.8250444
Ayam Kremes Bu Lestari;;Surakarta;Surakarta;Surakarta;-7.5422595;110.8252837
Toko Paijo;;Surakarta;Surakarta;Surakarta;-7.5422415;110.8254061
Warung Pak Sumari;;Surakarta;Surakarta;Surakarta;-7.5427498;110.8221706
Warung Bu Wiji;;Surakarta;Surakarta;Surakarta;-7.5423662;110.822795
Waeung Mbak Anik;;Surakarta;Surakarta;Surakarta;-7.5422124;110.8227874
Glend Com;;Surakarta;Surakarta;Surakarta;-7.5421454;110.8228233
Studio Recording 29;;Surakarta;Surakarta;Surakarta;-7.5628444;110.8281398
Agus Rosok;;Surakarta;Surakarta;Surakarta;-7.5629156;110.8279246
Ayam Penyet Mbah Sastro;;Surakarta;Surakarta;Surakarta;-7.5632577;110.8278638
Toko Kelontong Mbak Dian;;Surakarta;Surakarta;Surakarta;-7.5630392;110.8273118
Warung Kelontong Mak Nyak;;Surakarta;Surakarta;Surakarta;-7.5632565;110.8278651
Toko Bu Endang;;Surakarta;Surakarta;Surakarta;-7.5632495;110.8272119
Warung Gado Gado Mbak Anik;;Surakarta;Surakarta;Surakarta;-7.5631511;110.8280859
Gorengan Mbak Avrita;;Surakarta;Surakarta;Surakarta;-7.5628385;110.8280169
Gorengan Mbak Tintin;;Surakarta;Surakarta;Surakarta;-7.5628435;110.8280265
Sego Bungkus Mbak Ana;;Surakarta;Surakarta;Surakarta;-7.5628403;110.8280107
Online 86 Shop;;Surakarta;Surakarta;Surakarta;-7.5552449;110.8337236
Tahu Bakso;;Surakarta;Surakarta;Surakarta;-7.5550212;110.833721
Salon Sava;;Surakarta;Surakarta;Surakarta;-7.5552661;110.8338353
Kios Baju Bekas Pak Agung Pasar Gading;;Surakarta;Surakarta;Surakarta;-7.583425118522167;110.82647866810292
Warung Bumbu Tini;;Surakarta;Surakarta;Surakarta;-7.5584816013288405;110.81494124860346
Toko Pak Bowo;;Surakarta;Surakarta;Surakarta;-7.547555916666667;110.82120513888889
Kios Baju Bekas Bu Dariyani Pasar Gading;;Surakarta;Surakarta;Surakarta;-7.58347068155194;110.82648822471278
Warmindo Semoet Ireng;;Surakarta;Surakarta;Surakarta;-7.5820566;110.8245627
Kios Baju Bekas Bu Nurwati Gading;;Surakarta;Surakarta;Surakarta;-7.583471172949682;110.82645415021712
Sate Ayam Madura Bu Nur;;Surakarta;Surakarta;Surakarta;-7.544233805555556;110.82024383333334
Sembako Bu Sri;;Surakarta;Surakarta;Surakarta;-7.558490790152761;110.81493365897003
Warung Makan Berkah Mbak Anik;;Surakarta;Surakarta;Surakarta;-7.557473;110.7864464
Galon Pak Edi;;Surakarta;Surakarta;Surakarta;-7.5692972;110.8155066
Warung Wedangan;;Surakarta;Surakarta;Surakarta;-7.5897159;110.8271451
Laundry Febri;;Surakarta;Surakarta;Surakarta;-7.5733805;110.8538283
Warung Soto;;Surakarta;Surakarta;Surakarta;-7.5905953;110.8280311
Warung Kelontong Sri Haryuni;;Surakarta;Surakarta;Surakarta;-7.5538277;110.8356878
Bengkel Dinamo Suyoto;;Surakarta;Surakarta;Surakarta;-7.5732883;110.8540383
Warung Soto Epri;;Surakarta;Surakarta;Surakarta;-7.5691176;110.8547144
Laundry Kunia;;Surakarta;Surakarta;Surakarta;-7.5729823;110.8535024
Warung Bu Cici;;Surakarta;Surakarta;Surakarta;-7.5769183;110.83741
Kios Kelontong Mbak Endra/Mas Roby;;Surakarta;Surakarta;Surakarta;-7.576575;110.8373917
Wedangan Nongskuy;;Surakarta;Surakarta;Surakarta;-7.5729484;110.8532565
Kue Apem Sh;;Surakarta;Surakarta;Surakarta;-7.5730476;110.8538222
Kios Ayam Mbak Nanik;;Surakarta;Surakarta;Surakarta;-7.57682;110.8374117
Mak Prapti Snack;;Surakarta;Surakarta;Surakarta;-7.5729369;110.8532908
Jual Burung Sukadi;;Surakarta;Surakarta;Surakarta;-7.5729934;110.853332
Tiethania;;Surakarta;Surakarta;Surakarta;-7.5667965;110.8547808
Bakmi Jawa Sri;;Surakarta;Surakarta;Surakarta;-7.5729422;110.8533782
Warung Bu Karti;;Surakarta;Surakarta;Surakarta;-7.5768014;110.8372608
Kelontong Suminah;;Surakarta;Surakarta;Surakarta;-7.5678885;110.8550289
Jahit Hartati;;Surakarta;Surakarta;Surakarta;-7.5533507;110.8355166
Soto Ayam Pak Min Yes;;Surakarta;Surakarta;Surakarta;-7.5533305;110.8354721
Spl Flowerhorn;;Surakarta;Surakarta;Surakarta;-7.560203822115653;110.78487126580274
Tok Sembako Bu Warni;;Surakarta;Surakarta;Surakarta;-7.5471213;110.821041
Bakso Akper;;Surakarta;Surakarta;Surakarta;-7.5380966;110.832703
Toko Karinda;;Surakarta;Surakarta;Surakarta;-7.5627266;110.7884798
Toko Sembako 68;;Surakarta;Surakarta;Surakarta;-7.5471407;110.821055
Bakso Kuah Bimbim;;Surakarta;Surakarta;Surakarta;-7.5380907;110.8326636
Warung Wedangan;;Surakarta;Surakarta;Surakarta;-7.585901;110.828449
Menjual Usus Goreng;;Surakarta;Surakarta;Surakarta;-7.547744;110.8296365
Toko Pak Parwadi;;Surakarta;Surakarta;Surakarta;-7.5697501;110.8567146
Warung Gongso Ks & Ayam Bakar Dan Goreng Girli;;Surakarta;Surakarta;Surakarta;-7.5625726;110.7845336
Peyek Ibu Tatik;;Surakarta;Surakarta;Surakarta;-7.58187;110.8246598
Warung Makan Pak Heri;;Surakarta;Surakarta;Surakarta;-7.5696015;110.8587313
Warung Makan Sate Kambing;;Surakarta;Surakarta;Surakarta;-7.5492026;110.7886257
Jual Onderdil Motor Mas Bambang (Pasar Notoharjo);;Surakarta;Surakarta;Surakarta;-7.590097222222222;110.83408333333334
Jual Variasi Montor Nanang (Pasar Notoharjo);;Surakarta;Surakarta;Surakarta;-7.590044444444445;110.83398055555556
Kedai Makan;;Surakarta;Surakarta;Surakarta;-7.560284;110.8215752
Percetakan Agung Wijaya;;Surakarta;Surakarta;Surakarta;-7.5728117;110.851565
Warung Bu Suprapti;;Surakarta;Surakarta;Surakarta;-7.5662961;110.8542952
Es Degan;;Surakarta;Surakarta;Surakarta;-7.5645961;110.8220505
Intip Goreng Bu Isnani;;Surakarta;Surakarta;Surakarta;-7.5724009;110.8509383
Warung Snak Bu Parjiyem;;Surakarta;Surakarta;Surakarta;-7.5672084;110.8541945
Marmi Sayur;;Surakarta;Surakarta;Surakarta;-7.5573236814199625;110.7795859941375
Es Blander Argo Rinjani;;Surakarta;Surakarta;Surakarta;-7.5727933;110.85143
Jahit Bu Ken Susiarti;;Surakarta;Surakarta;Surakarta;-7.5725708;110.8514839
Salon Deasy;;Surakarta;Surakarta;Surakarta;-7.5729581;110.8517729
Solo Las Argon Alumunium;;Surakarta;Surakarta;Surakarta;-7.5727559;110.8513048
Cia Cookies And Snack;;Surakarta;Surakarta;Surakarta;-7.5814219;110.821578
Toko Kelontong Bu Suwarti;;Surakarta;Surakarta;Surakarta;-7.5471099;110.8209869
Las Dan Alumuniun Kaca;;Surakarta;Surakarta;Surakarta;-7.5772029;110.8416854
Kios Bu Atun;;Surakarta;Surakarta;Surakarta;-7.557300594865007;110.77958149616443
Jasuke By Me Prisilia;;Surakarta;Surakarta;Surakarta;-7.5674578;110.8541279
Koko Pizza;;Surakarta;Surakarta;Surakarta;-7.567376;110.8545658
Warung Makan Mbak Uti;;Surakarta;Surakarta;Surakarta;-7.5788591;110.8238355
Aneka Gorengan Dan Pecel Bu Suyamti;;Surakarta;Surakarta;Surakarta;-7.583417147423008;110.82652460087084
Kios Bu Siti;;Surakarta;Surakarta;Surakarta;-7.557281702626347;110.77959213875148
Usaha Besi Tua Narto;;Surakarta;Surakarta;Surakarta;-7.554799499722222;110.84003189972222
Wedangan Bu Murdi;;Surakarta;Surakarta;Surakarta;-7.5818388;110.8393453
Kios Wiji;;Surakarta;Surakarta;Surakarta;-7.5629283;110.835055
Warung Zahra;;Surakarta;Surakarta;Surakarta;-7.5730258;110.8539907
Warung Mbak Defie;;Surakarta;Surakarta;Surakarta;-7.5580535;110.8327265
Warung Kelontong Surati;;Surakarta;Surakarta;Surakarta;-7.5670593;110.855991
Jajanan Bocah Dan Pakaian Irma;;Surakarta;Surakarta;Surakarta;-7.5670995;110.8559424
Sosis Bakar Suharto;;Surakarta;Surakarta;Surakarta;-7.5669997;110.8557865
Toko Klontong;;Surakarta;Surakarta;Surakarta;-7.5885443;110.8276174
Mainan;;Surakarta;Surakarta;Surakarta;-7.5789502;110.8396
Warung Makan;;Surakarta;Surakarta;Surakarta;-7.5899904;110.8274786
Warung Makan Bu Narto;;Surakarta;Surakarta;Surakarta;-7.5754047;110.8324414
Warung Makan Mbk Endar;;Surakarta;Surakarta;Surakarta;-7.5739796;110.8326064
Menjahit;;Surakarta;Surakarta;Surakarta;-7.5790481;110.8396984
Warung Kelontong Bu Endah;;Surakarta;Surakarta;Surakarta;-7.5497701;110.8040242
Warung Kelontong Pak Zainal;;Surakarta;Surakarta;Surakarta;-7.5501392;110.8092951
Warung Es Teh Mbak Yah;;Surakarta;Surakarta;Surakarta;-7.5489879;110.8055799
Warung Makan Dan Bakso Bu Triyono;;Surakarta;Surakarta;Surakarta;-7.566974;110.8557686
Smart Phone Clinic;;Surakarta;Surakarta;Surakarta;-7.5625564;110.8491048
Warung Snack Mbak Lastri;;Surakarta;Surakarta;Surakarta;-7.562012236843228;110.78877545783983
Callista Cake;;Surakarta;Surakarta;Surakarta;-7.5712463;110.8485516
Wedangan Shelter;;Surakarta;Surakarta;Surakarta;-7.562008270460078;110.78880108517015
Bolu Kukus Cik Susi;;Surakarta;Surakarta;Surakarta;-7.5622364;110.8336991
Sembako Snack Bu Las;;Surakarta;Surakarta;Surakarta;-7.558493269878562;110.81493548953723
Snack Buk Tin;;Surakarta;Surakarta;Surakarta;-7.5618864;110.8327533
Buah Pisang Bu Darmi;;Surakarta;Surakarta;Surakarta;-7.558514986724041;110.81493001542357
Warung Bu Trisni;;Surakarta;Surakarta;Surakarta;-7.558493211034521;110.81493831239537
Toko Sayur Warsiti;;Surakarta;Surakarta;Surakarta;-7.558487976651538;110.81494019345666
Kue Kue Bu Tri;;Surakarta;Surakarta;Surakarta;-7.558494904466507;110.8149311253041
Warung Sayur Tugi;;Surakarta;Surakarta;Surakarta;-7.5584999810449345;110.81493682687733
Warung Sayur Niken;;Surakarta;Surakarta;Surakarta;-7.558488238441434;110.81493721666094
Sembako Bu Partinah;;Surakarta;Surakarta;Surakarta;-7.557266395601236;110.77960044942792
Vermak Pardi;;Surakarta;Surakarta;Surakarta;-7.552808333333333;110.83583055555556
Toko Sumiyati;;Surakarta;Surakarta;Surakarta;-7.557289416399413;110.77961833983358
Toko Pakaian Doa Ibu;;Surakarta;Surakarta;Surakarta;-7.557285887500276;110.77962169023438
Toko 9;;Surakarta;Surakarta;Surakarta;-7.557282060822365;110.77961563025428
Bakso Pak Jiman;;Surakarta;Surakarta;Surakarta;-7.557266624318799;110.77959116675719
Salon Pramestri;;Surakarta;Surakarta;Surakarta;-7.5524944722222225;110.83638858333333
Toko Kelontong Bu Sri Darso;;Surakarta;Surakarta;Surakarta;-7.5468578;110.8209162
Toko Sayur Bu Saryanti;;Surakarta;Surakarta;Surakarta;-7.55851353466747;110.81493324415021
Toko Pakaian Uun;;Surakarta;Surakarta;Surakarta;-7.558511805131069;110.81493767357622
Toko Bumbu Dapur Bu Jumiati;;Surakarta;Surakarta;Surakarta;-7.547091916666667;110.82170102777778
Pedagang Pisang Bu Wartini;;Surakarta;Surakarta;Surakarta;-7.558515527244722;110.81493923235026
Warung Sembako Pak Manto;;Surakarta;Surakarta;Surakarta;-7.558514322494039;110.81495117314167
Warung Es;;Surakarta;Surakarta;Surakarta;-7.5872504;110.8271937
Toko Kelontong Pak Jono;;Surakarta;Surakarta;Surakarta;-7.588886111111111;110.82904722222223
Kios Ayam Bu Sugiyatmi;;Surakarta;Surakarta;Surakarta;-7.5834280655280555;110.82645395475932
Karak Ayu Karsiati;;Surakarta;Surakarta;Surakarta;-7.5896009;110.8255411
Warung Kelontong Bu Widodo;;Surakarta;Surakarta;Surakarta;-7.588802777777778;110.82946944444444
Snm Kids (Agen Baju Anak);;Surakarta;Surakarta;Surakarta;-7.579035;110.839755
Warung Makan;;Surakarta;Surakarta;Surakarta;-7.5784883;110.8402233
Kios Ayam Mb Sutarni;;Surakarta;Surakarta;Surakarta;-7.57672;110.8368167
Kios Ayam Mbak Tika;;Surakarta;Surakarta;Surakarta;-7.5766317;110.8384967
Jualan /Warung Klontong;;Surakarta;Surakarta;Surakarta;-7.5790583;110.8417979
Sayuran Until;;Surakarta;Surakarta;Surakarta;-7.5438325;110.8363057
Soto Sarmi;;Surakarta;Surakarta;Surakarta;-7.5440425;110.8361189
Ayam Bakar Agung Jaya;;Surakarta;Surakarta;Surakarta;-7.5775783;110.8395188
Bakso Kuah;;Surakarta;Surakarta;Surakarta;-7.5777954;110.8394422
Karak Krupuk Pakman;;Surakarta;Surakarta;Surakarta;-7.5794681;110.8371383
Nayla Olashop;;Surakarta;Surakarta;Surakarta;-7.5790588;110.8417961
Warung Kelontong;;Surakarta;Surakarta;Surakarta;-7.5790593;110.8418031
Warung Sembako Kecil;;Surakarta;Surakarta;Surakarta;-7.5789671;110.8411666
Warung Kelontong Gemilang;;Surakarta;Surakarta;Surakarta;-7.5779967;110.8396767
Penjahit;;Surakarta;Surakarta;Surakarta;-7.5783133;110.8394333
Konveksi;;Surakarta;Surakarta;Surakarta;-7.5778346;110.839406
Warung Kelontong;;Surakarta;Surakarta;Surakarta;-7.5769142;110.8413234
Penjahit;;Surakarta;Surakarta;Surakarta;-7.5790748;110.8397096
Koran(Doel Agency);;Surakarta;Surakarta;Surakarta;-7.5781016;110.838524
Warung Umi Kartini;;Surakarta;Surakarta;Surakarta;-7.5801167;110.840045
Klitikan Barang Bekas;;Surakarta;Surakarta;Surakarta;-7.5775917;110.8394767
Warung Makan Bu Marsi;;Surakarta;Surakarta;Surakarta;-7.564369;110.8233462
Warung Kelontong;;Surakarta;Surakarta;Surakarta;-7.5769771;110.8416076
Ud Berkah Abadi;;Surakarta;Surakarta;Surakarta;-7.5689497;110.8521026
Jahit Bu Parmi;;Surakarta;Surakarta;Surakarta;-7.5678347;110.8535545
Sangkar Burung Yudi;;Surakarta;Surakarta;Surakarta;-7.5720877;110.8503947
Laundry Dewe;;Surakarta;Surakarta;Surakarta;-7.5721109;110.8500653
Ayam Goreng Dan Geprek Barokah;;Surakarta;Surakarta;Surakarta;-7.5673535;110.8533025
Konveksi Marmar;;Surakarta;Surakarta;Surakarta;-7.5668608;110.8530209
Toko Bagus;;Surakarta;Surakarta;Surakarta;-7.562737072233323;110.7852845038433
Parti Es Buah Dan Makanan;;Surakarta;Surakarta;Surakarta;-7.5723699;110.8504663
Tiwul Mbah Wanto;;Surakarta;Surakarta;Surakarta;-7.5720858;110.850104
Kelontong Trisnani;;Surakarta;Surakarta;Surakarta;-7.553629;110.8360046
Peyek Bu Karsini;;Surakarta;Surakarta;Surakarta;-7.5536783;110.8358537
Bengkel Cat Sepeda Motor Rizky Paint;;Surakarta;Surakarta;Surakarta;-7.572439;110.8502389
Wedangan Bu Pami;;Surakarta;Surakarta;Surakarta;-7.5535476;110.8357295
Kasmiyati Rambak;;Surakarta;Surakarta;Surakarta;-7.5535895;110.8361798
Sultan;;Surakarta;Surakarta;Surakarta;-7.5720841;110.8500755
Warung Sate Kere Bu Marni;;Surakarta;Surakarta;Surakarta;-7.5699842;110.8497562
Jajan Meal Ihir;;Surakarta;Surakarta;Surakarta;-7.5527372;110.835888
Martabak Goreng;;Surakarta;Surakarta;Surakarta;-7.5438257;110.8126374
Sosis Goreng Mbak Dewi;;Surakarta;Surakarta;Surakarta;-7.5444589;110.8114554
Warung Kelontong Sederhana;;Surakarta;Surakarta;Surakarta;-7.5443166;110.8114329
Warung Kelontong Kris;;Surakarta;Surakarta;Surakarta;-7.5520323;110.8351276
